City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
58,Constitucion,CL,-35.3333,-72.4167,61.75,50,0,11.41,clear sky
59,Kamaishi,JP,39.2667,141.8833,74.08,96,19,6.42,few clouds
60,Dikson,RU,73.5069,80.5464,39.52,99,99,7.27,overcast clouds
61,Akyab,MM,20.15,92.9,80.02,87,100,4.29,overcast clouds
62,Kachiry,KZ,53.0675,76.1036,66.4,65,57,6.06,broken clouds
63,Aklavik,CA,68.2191,-135.0107,84.92,34,40,9.22,haze
64,Peniche,PT,39.3558,-9.3811,71.08,90,62,7.99,broken clouds
65,Saldanha,ZA,-33.0117,17.9442,48.25,90,53,9.69,broken clouds
66,Kahului,US,20.8947,-156.47,83.46,65,20,19.57,few clouds
67,Ancud,CL,-41.8697,-73.8203,51.33,66,53,3.58,broken clouds
68,Thompson,CA,55.7435,-97.8558,78.96,38,40,13.8,scattered clouds
69,Cherskiy,RU,68.75,161.3,35.46,92,96,18.95,overcast clouds
70,Lebu,CL,-37.6167,-73.65,53.15,71,6,17.83,clear sky
71,Bathsheba,BB,13.2167,-59.5167,86.61,70,20,11.5,few clouds
72,Nikolskoye,RU,59.7035,30.7861,64.29,78,5,6.33,clear sky
73,Carutapera,BR,-1.195,-46.02,78.13,88,63,5.14,broken clouds
74,Presidente Medici,BR,-11.1753,-61.9014,95.59,17,3,5.26,clear sky
75,Sola,VU,-13.8833,167.55,75.29,61,98,9.6,overcast clouds
76,Mossendjo,CG,-2.9506,12.7261,74.86,70,100,5.88,overcast clouds
77,Rohnert Park,US,38.3396,-122.7011,92.62,49,1,5.01,clear sky
78,Souillac,MU,-20.5167,57.5167,70.18,83,75,13.8,light rain
79,Sinazongwe,ZM,-17.2614,27.4618,66.0,47,0,4.36,clear sky
80,Bilma,NE,18.6853,12.9164,97.81,9,0,5.61,clear sky
81,Bandarbeyla,SO,9.4942,50.8122,80.15,73,3,26.42,clear sky
82,Bafata,GW,12.1667,-14.75,75.04,96,99,6.98,light rain
83,Brae,GB,60.3964,-1.353,49.91,80,100,14.03,overcast clouds
84,Albany,US,42.6001,-73.9662,76.87,76,73,6.69,broken clouds
85,Georgetown,MY,5.4112,100.3354,76.95,89,20,1.99,few clouds
86,Northam,GB,51.0333,-4.2167,62.38,81,13,7.27,few clouds
87,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,100,90,9.22,mist
88,Roros,NO,62.5747,11.3842,44.44,87,40,6.91,scattered clouds
89,Birin,NP,26.8865,88.0718,64.47,98,100,3.47,overcast clouds
90,Tiksi,RU,71.6872,128.8694,44.67,77,28,4.97,scattered clouds
91,Beringovskiy,RU,63.05,179.3167,45.57,72,48,12.86,scattered clouds
92,Bacalar,MX,18.6667,-88.3833,92.41,48,36,8.41,scattered clouds
93,Novopavlovka,RU,51.2172,109.2091,53.02,93,77,2.35,broken clouds
94,Princeton,US,25.5384,-80.4089,94.01,64,1,8.05,thunderstorm
95,Cabo San Lucas,MX,22.8909,-109.9124,98.82,67,20,1.99,few clouds
96,Clyde River,CA,70.4692,-68.5914,43.03,87,90,13.8,overcast clouds
97,Estrela,BR,-28.0611,-50.9383,51.53,80,97,2.68,overcast clouds
98,East London,ZA,-33.0153,27.9116,63.39,57,10,19.01,clear sky
99,Kuching,MY,1.55,110.3333,75.42,94,20,0.0,few clouds
100,Gilleleje,DK,56.122,12.3106,64.27,58,11,17.58,few clouds
101,Pouembout,NC,-21.1333,164.9,59.65,71,5,4.25,clear sky
102,Beloha,MG,-25.1667,45.05,67.48,63,0,9.93,clear sky
103,Kemijarvi,FI,66.7131,27.4306,55.67,95,100,1.66,overcast clouds
104,Narsaq,GL,60.9167,-46.05,61.02,66,100,9.82,overcast clouds
105,Talnakh,RU,69.4865,88.3972,54.88,91,100,5.06,overcast clouds
106,Hithadhoo,MV,-0.6,73.0833,80.98,72,96,5.59,moderate rain
107,Pokhara,NP,28.2333,83.9833,71.96,92,32,3.58,scattered clouds
108,Coquimbo,CL,-29.9533,-71.3436,62.33,67,0,13.8,clear sky
109,Sulphur,US,30.2366,-93.3774,94.96,61,40,4.61,scattered clouds
110,Nuuk,GL,64.1835,-51.7216,59.61,55,20,8.05,few clouds
111,Carnarvon,AU,-24.8667,113.6333,50.07,62,0,8.05,clear sky
112,Kysyl-Syr,RU,63.8986,122.7617,61.57,74,93,3.78,overcast clouds
113,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,13.8,scattered clouds
114,Khromtau,KZ,50.2503,58.4347,77.27,39,30,9.93,scattered clouds
115,Saltpond,GH,5.2091,-1.0606,75.7,90,12,7.56,few clouds
116,Huilong,CN,31.8111,121.655,79.99,93,1,5.97,clear sky
117,Seydi,TM,39.4816,62.9137,84.34,11,30,12.35,scattered clouds
118,Fortuna,US,40.5982,-124.1573,72.93,68,20,3.0,few clouds
119,Fort Nelson,CA,58.8053,-122.7002,81.99,44,1,3.44,clear sky
120,Vanimo,PG,-2.6741,141.3028,76.68,90,33,4.7,light rain
121,Provideniya,RU,64.3833,-173.3,41.92,89,100,13.87,overcast clouds
122,Esperance,AU,-33.8667,121.9,51.64,58,68,24.29,broken clouds
123,Hambantota,LK,6.1241,81.1185,79.52,83,100,15.75,overcast clouds
124,Newport,GB,51.5877,-2.9984,65.07,72,80,5.95,broken clouds
125,Bambous Virieux,MU,-20.3428,57.7575,70.05,83,75,13.8,light rain
126,Kushmurun,KZ,52.4503,64.6311,73.51,58,10,7.07,clear sky
127,Port Hardy,CA,50.6996,-127.4199,64.58,77,40,13.8,fog
128,Yerbogachen,RU,61.2767,108.0108,60.17,57,100,5.19,overcast clouds
129,Margate,GB,51.3813,1.3862,61.7,89,100,4.0,overcast clouds
130,Sume,BR,-7.6717,-36.88,75.38,55,100,16.13,overcast clouds
131,Floresta,BR,-8.6011,-38.5686,77.86,52,100,22.88,overcast clouds
132,Portland,US,45.5234,-122.6762,92.64,46,1,1.01,clear sky
133,Kuruman,ZA,-27.4524,23.4325,45.0,31,0,4.72,clear sky
134,Oktyabrskoye,RU,43.0645,44.7417,66.34,88,63,6.71,broken clouds
135,Castro,BR,-24.7911,-50.0119,55.67,71,72,4.47,broken clouds
136,Butaritari,KI,3.0707,172.7902,83.01,69,17,9.75,few clouds
137,Tuktoyaktuk,CA,69.4541,-133.0374,69.8,68,75,13.8,broken clouds
138,Yellowknife,CA,62.456,-114.3525,86.32,28,1,4.0,clear sky
139,Kodiak,US,57.79,-152.4072,56.71,82,90,10.36,haze
140,Bara,NG,10.3744,10.7288,74.57,89,100,3.6,moderate rain
141,Aksarka,RU,66.5606,67.7975,56.53,99,100,5.59,overcast clouds
142,Hofn,IS,64.2539,-15.2082,54.37,92,98,2.8,overcast clouds
143,Bengkulu,ID,-3.8004,102.2655,74.55,89,94,4.61,overcast clouds
144,Mbaiki,CF,3.8678,17.9892,70.14,98,98,1.3,light rain
145,Nhulunbuy,AU,-12.2333,136.7667,70.41,94,40,0.0,scattered clouds
146,Faanui,PF,-16.4833,-151.75,77.22,70,54,15.01,broken clouds
147,San Patricio,US,28.017,-97.5169,98.02,40,100,14.79,overcast clouds
148,Umm Lajj,SA,25.0213,37.2685,87.82,55,5,2.95,clear sky
149,Avarua,CK,-21.2078,-159.775,75.25,88,75,17.27,moderate rain
150,Salalah,OM,17.0151,54.0924,75.72,92,100,5.48,overcast clouds
151,San Felipe,VE,10.3399,-68.7425,85.71,61,79,6.93,broken clouds
152,Chapais,CA,49.7834,-74.8492,67.78,55,96,9.98,overcast clouds
153,Laguna,US,38.421,-121.4238,104.25,39,1,11.5,clear sky
154,Katsuura,JP,35.1333,140.3,81.1,85,1,5.84,clear sky
155,Touros,BR,-5.1989,-35.4608,79.7,71,5,20.2,clear sky
156,Oudtshoorn,ZA,-33.5907,22.2014,53.96,86,6,2.89,clear sky
157,Minjur,IN,13.2667,80.2667,86.02,52,99,7.94,overcast clouds
158,Lagoa,PT,39.05,-27.9833,72.3,94,52,17.43,broken clouds
159,Iqaluit,CA,63.7506,-68.5145,55.13,71,90,3.44,overcast clouds
160,Victoria,HK,22.2855,114.1577,85.32,86,98,4.0,overcast clouds
161,Tokur,RU,53.1333,132.9,52.99,98,100,2.44,moderate rain
162,Kavieng,PG,-2.5744,150.7967,81.5,76,2,8.75,clear sky
163,Beidao,CN,34.5686,105.8933,68.9,77,49,3.67,scattered clouds
164,Tuatapere,NZ,-46.1333,167.6833,39.81,93,100,5.57,overcast clouds
165,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,68,20,16.11,few clouds
166,Cap Malheureux,MU,-19.9842,57.6142,70.29,76,12,5.99,few clouds
167,Bukama,CD,-9.2,25.85,72.79,36,63,2.77,broken clouds
168,Sete,FR,43.4018,3.6966,75.06,53,100,17.25,overcast clouds
169,Hilo,US,19.7297,-155.09,78.62,80,90,17.27,overcast clouds
170,La Asuncion,VE,11.0333,-63.8628,82.98,74,1,16.24,clear sky
171,Sidney,AU,-33.8679,151.2073,49.39,83,20,4.0,few clouds
172,Fukue,JP,32.6881,128.8419,80.67,84,100,9.82,overcast clouds
173,Atar,MR,20.5169,-13.0499,98.2,27,7,9.82,clear sky
174,Anapskaya,RU,44.89,37.38,71.83,83,0,4.47,clear sky
175,Redmond,US,47.674,-122.1215,82.35,63,100,1.99,overcast clouds
176,Flin Flon,CA,54.7682,-101.865,82.24,34,1,8.05,smoke
177,Brownwood,US,31.7093,-98.9912,98.29,44,69,9.64,broken clouds
178,Cape Town,ZA,-33.9258,18.4232,59.11,78,40,1.14,scattered clouds
179,Palu,ID,-0.8917,119.8707,74.7,94,50,2.68,scattered clouds
180,Skibbereen,IE,51.55,-9.2667,60.6,73,97,9.48,overcast clouds
181,Galich,RU,58.3797,42.3475,60.21,93,55,5.53,broken clouds
182,Vao,NC,-22.6667,167.4833,65.62,62,82,12.77,broken clouds
183,Joao Pinheiro,BR,-17.7425,-46.1725,77.5,34,39,3.47,scattered clouds
184,Airai,TL,-8.9266,125.4092,56.01,86,26,2.71,scattered clouds
185,Sao Pedro Do Sul,BR,-29.6206,-54.1789,66.85,65,0,3.4,clear sky
186,Xai-Xai,MZ,-25.0519,33.6442,63.77,56,2,7.76,clear sky
187,Qaanaaq,GL,77.484,-69.3632,43.16,80,88,1.72,overcast clouds
188,Ponta Do Sol,PT,32.6667,-17.1,72.23,67,1,5.41,clear sky
189,Plettenberg Bay,ZA,-34.0527,23.3716,56.73,84,49,10.09,scattered clouds
190,Ponta Delgada,PT,37.7333,-25.6667,72.32,94,40,17.27,scattered clouds
191,Puerto El Triunfo,SV,13.2833,-88.55,91.62,52,95,7.27,overcast clouds
192,Norman Wells,CA,65.282,-126.8329,78.84,41,20,4.61,few clouds
193,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,37.8,90,87,6.71,overcast clouds
194,Monrovia,LR,6.3005,-10.7969,76.77,76,100,10.22,overcast clouds
195,Saint-Philippe,RE,-21.3585,55.7679,67.55,74,47,11.1,scattered clouds
196,Palmer,US,42.1584,-72.3287,78.66,61,99,1.01,overcast clouds
197,Asilah,MA,35.465,-6.0348,76.86,66,96,4.92,overcast clouds
198,Bilibino,RU,68.0546,166.4372,38.57,62,69,5.55,broken clouds
199,Mount Gambier,AU,-37.8333,140.7667,42.71,87,0,9.22,clear sky
200,Pisco,PE,-13.7,-76.2167,66.25,72,20,9.22,haze
201,Tasiilaq,GL,65.6145,-37.6368,59.16,78,6,5.57,clear sky
202,Mercedes,AR,-34.6515,-59.4307,63.03,51,0,3.36,clear sky
203,Karangampel,ID,-6.4622,108.4519,77.94,75,5,7.43,clear sky
204,Fomboni,KM,-12.28,43.7425,75.51,71,8,10.33,clear sky
205,Vung Tau,VN,10.346,107.0843,80.65,82,95,17.13,overcast clouds
206,Sandpoint,US,48.2766,-116.5533,86.76,46,1,0.0,clear sky
207,Aksu,CN,41.1231,80.2644,77.13,16,69,5.28,broken clouds
208,Yulara,AU,-25.2406,130.9889,53.44,43,0,8.05,clear sky
209,Sobolevo,RU,54.4299,31.8996,66.65,70,100,3.44,overcast clouds
210,Lakhnadon,IN,22.6,79.6,71.78,85,100,16.08,overcast clouds
211,Nehe,CN,48.4833,124.8333,57.45,94,93,5.99,overcast clouds
212,Papar,MY,5.7333,115.9333,77.0,89,100,6.87,overcast clouds
213,Dolores,AR,-36.3132,-57.6792,55.49,60,0,2.3,clear sky
214,Mehamn,NO,71.0357,27.8492,49.91,93,90,2.3,moderate rain
215,Mikumi,TZ,-7.4041,36.9831,65.84,71,11,3.11,few clouds
216,Barrow,US,71.2906,-156.7887,50.02,83,90,19.57,overcast clouds
217,Srednekolymsk,RU,67.45,153.6833,37.81,75,100,10.04,overcast clouds
218,Mar Del Plata,AR,-38.0023,-57.5575,52.09,30,20,1.01,few clouds
219,Phan Thiet,VN,10.9333,108.1,76.44,93,82,9.57,broken clouds
220,Lhokseumawe,ID,5.1801,97.1507,77.9,83,100,5.39,overcast clouds
221,Vanavara,RU,60.34,102.2797,54.0,62,46,4.38,scattered clouds
222,Antalaha,MG,-14.9003,50.2788,67.1,89,100,6.64,overcast clouds
223,Hasaki,JP,35.7333,140.8333,77.4,90,12,7.09,few clouds
224,Krasnoarmeysk,RU,51.0239,45.6969,79.16,54,56,3.29,broken clouds
225,Bayevo,RU,53.2833,80.7667,64.06,61,92,5.48,overcast clouds
226,Dunedin,NZ,-45.8742,170.5036,50.81,81,100,13.0,overcast clouds
227,Hobyo,SO,5.3505,48.5268,78.08,78,4,23.98,clear sky
228,Arlit,NE,18.7369,7.3853,95.27,29,45,13.35,scattered clouds
229,Darien,US,41.752,-87.974,79.65,55,20,1.01,few clouds
230,Komsomolskiy,UZ,40.4272,71.7189,81.32,29,100,11.5,overcast clouds
231,Raudeberg,NO,61.9875,5.1352,55.0,75,20,15.77,few clouds
232,Antofagasta,CL,-23.65,-70.4,60.08,69,25,5.79,scattered clouds
233,Sitka,US,57.0531,-135.33,60.69,82,75,4.61,broken clouds
234,Siddipet,IN,18.1,78.85,76.26,72,94,18.12,overcast clouds
235,Eureka,US,40.8021,-124.1637,69.19,72,64,8.99,broken clouds
236,Upernavik,GL,72.7868,-56.1549,43.63,77,32,13.4,scattered clouds
237,Martapura,ID,-3.4167,114.85,73.49,100,85,1.14,overcast clouds
238,Sur,OM,22.5667,59.5289,90.39,54,100,15.01,overcast clouds
239,Uruzgan,AF,32.8333,66.0,75.18,16,0,1.9,clear sky
240,Klaksvik,FO,62.2266,-6.589,49.12,82,53,11.48,broken clouds
241,Wukari,NG,7.85,9.7833,72.59,96,100,6.13,light rain
242,Klichka,RU,50.4457,117.996,56.12,70,84,3.76,broken clouds
243,Dabakala,CI,8.3667,-4.4333,73.2,84,97,4.14,overcast clouds
244,Avera,US,33.194,-82.5271,95.92,46,92,12.26,overcast clouds
245,Pangnirtung,CA,66.1451,-65.7125,48.2,87,90,4.61,overcast clouds
246,Anshun,CN,26.25,105.9333,66.52,82,1,2.3,clear sky
247,Coihaique,CL,-45.5752,-72.0662,53.55,58,90,6.91,overcast clouds
248,Severo-Kurilsk,RU,50.6789,156.125,53.35,81,0,15.82,clear sky
249,Rakaia,NZ,-43.75,172.0167,49.82,93,99,13.27,overcast clouds
250,Mirnyy,RU,62.5353,113.9611,60.15,58,100,5.88,overcast clouds
251,Kjollefjord,NO,70.9457,27.3465,48.02,93,90,2.3,moderate rain
252,Daoukro,CI,7.0591,-3.9631,71.38,98,9,2.8,light rain
253,Swan River,CA,52.1058,-101.2676,82.29,32,0,5.75,clear sky
254,Chuy,UY,-33.6971,-53.4616,54.36,82,31,6.15,scattered clouds
255,Taoudenni,ML,22.6783,-3.9836,105.44,16,100,7.85,overcast clouds
256,Constantine,DZ,36.365,6.6147,76.41,69,20,17.27,few clouds
257,Cabedelo,BR,-6.9811,-34.8339,81.27,75,5,21.72,clear sky
258,Vardo,NO,70.3705,31.1107,56.95,93,75,9.22,broken clouds
259,Ambanja,MG,-13.6833,48.45,68.77,80,4,1.86,clear sky
260,Morrovalle,IT,43.3165,13.5885,83.23,34,100,16.49,overcast clouds
261,Russell,US,32.3502,-85.1999,94.28,49,20,6.91,few clouds
262,Maniitsoq,GL,65.4167,-52.9,48.07,79,16,8.63,few clouds
263,Mogadishu,SO,2.0371,45.3438,75.83,86,63,20.02,light rain
264,Grande Prairie,CA,55.1667,-118.8027,73.58,68,90,5.75,overcast clouds
265,Arkhangelsk,RU,64.5401,40.5433,60.91,94,40,2.24,scattered clouds
266,Saint-Augustin,CA,51.226,-58.6502,64.36,68,94,18.61,overcast clouds
267,Bud,US,39.447,-86.1758,80.58,70,15,12.59,few clouds
268,Lufilufi,WS,-13.8745,-171.5986,80.38,81,94,20.54,light rain
269,Pringsewu,ID,-5.3582,104.9744,72.43,98,29,2.46,scattered clouds
270,Kirakira,SB,-10.4544,161.9205,74.77,84,98,8.03,overcast clouds
271,Port Elizabeth,ZA,-33.918,25.5701,59.29,77,40,31.07,scattered clouds
272,Tura,IN,25.5198,90.2201,73.56,98,90,3.22,overcast clouds
273,Zemio,CF,5.0314,25.1361,69.1,96,100,1.54,light rain
274,Gunnedah,AU,-30.9833,150.25,41.72,89,0,3.47,clear sky
275,Sao Filipe,CV,14.8961,-24.4956,76.01,76,13,8.43,few clouds
276,Port Blair,IN,11.6667,92.75,81.81,81,100,18.9,light rain
277,Natchitoches,US,31.7668,-93.1335,95.68,52,1,5.75,clear sky
278,Lahij,YE,13.1667,44.5833,87.17,47,64,1.77,broken clouds
279,Santa Rosa,PH,14.3122,121.1114,83.1,83,100,14.03,moderate rain
280,Katsina,NG,12.9894,7.6006,82.74,63,100,13.15,light rain
281,Iskitim,RU,54.6366,83.3045,63.25,64,84,0.67,broken clouds
282,Ixtapa,MX,20.7,-105.2,90.23,70,5,5.01,clear sky
283,Saint-Joseph,RE,-21.3667,55.6167,66.56,72,37,11.05,scattered clouds
284,Visby,SE,57.6409,18.296,64.85,72,0,12.66,clear sky
285,Ambam,CM,2.3833,11.2833,69.3,99,99,3.06,overcast clouds
286,Fayaoue,NC,-20.65,166.5333,69.57,56,95,12.55,overcast clouds
287,Mariestad,SE,58.7097,13.8237,61.29,80,5,10.16,clear sky
288,Sinnamary,GF,5.3833,-52.95,81.93,78,49,8.61,scattered clouds
289,Bethel,US,41.3712,-73.414,77.36,69,75,10.36,broken clouds
290,Taltal,CL,-25.4,-70.4833,64.13,65,21,3.15,few clouds
291,Kyren,RU,51.6828,102.1408,59.41,98,100,3.96,light rain
292,Codrington,AU,-38.2667,141.9667,43.43,86,0,15.79,clear sky
293,Suoyarvi,RU,62.0833,32.35,55.51,98,60,4.68,broken clouds
294,Cayenne,GF,4.9333,-52.3333,87.84,74,20,4.0,few clouds
295,Susuman,RU,62.7833,148.1667,42.91,64,9,8.9,clear sky
296,Karratha,AU,-20.7377,116.8463,60.96,43,0,11.5,clear sky
297,San Quintin,MX,30.4833,-115.95,79.48,59,2,13.96,clear sky
298,San Francisco,US,37.7749,-122.4194,88.65,74,20,4.0,few clouds
299,Lorengau,PG,-2.0226,147.2712,82.18,77,69,9.46,broken clouds
300,Corowa,AU,-36.0333,146.3833,40.28,93,0,5.95,clear sky
301,Kozhva,RU,65.1073,57.0459,52.66,97,93,4.21,overcast clouds
302,Pucara,PE,-15.9803,-71.4606,48.33,39,24,11.16,few clouds
303,Tadine,NC,-21.55,167.8833,65.82,59,35,11.56,scattered clouds
304,Acapetahua,MX,15.2833,-92.7,89.56,64,100,4.36,overcast clouds
305,Eirunepe,BR,-6.6603,-69.8736,89.08,27,57,4.18,broken clouds
306,Strezhevoy,RU,60.7333,77.5889,58.98,76,100,6.76,overcast clouds
307,Grand Gaube,MU,-20.0064,57.6608,70.2,76,14,7.0,few clouds
308,Nabire,ID,-3.3667,135.4833,75.18,91,99,3.38,overcast clouds
309,Port Moresby,PG,-9.4431,147.1797,71.2,78,22,9.82,few clouds
310,Mandiana,GN,10.6333,-8.6833,72.84,95,98,4.76,light rain
311,Kologriv,RU,58.8275,44.3178,61.99,95,95,5.12,light rain
312,Ovsyanka,RU,55.9575,92.5519,56.37,92,94,2.64,overcast clouds
313,Uglich,RU,57.5275,38.3317,61.72,97,98,5.93,overcast clouds
314,Samarai,PG,-10.6167,150.6667,75.36,69,86,6.08,overcast clouds
315,Betamcherla,IN,15.4667,78.1667,78.06,66,31,18.25,scattered clouds
316,Dingle,PH,10.9995,122.6711,77.43,87,100,8.32,overcast clouds
317,Alexandria,EG,31.2156,29.9553,81.14,83,0,3.44,clear sky
318,Gurupi,BR,-11.7292,-49.0686,91.53,24,3,10.65,clear sky
319,Kizilskoye,RU,52.7255,58.8937,68.04,65,79,2.86,broken clouds
320,Caravelas,BR,-17.7125,-39.2481,70.34,55,100,10.27,overcast clouds
321,Yeppoon,AU,-23.1333,150.7333,53.38,90,0,4.97,clear sky
322,Darhan,MN,49.4867,105.9228,65.1,71,100,2.91,heavy intensity rain
323,Panormos,GR,35.4182,24.6909,89.11,44,0,4.12,clear sky
324,Havelock,US,34.8791,-76.9013,89.58,87,100,10.0,overcast clouds
325,Lata,PT,40.1629,-8.3327,69.35,96,99,3.0,overcast clouds
326,Austin,US,30.2672,-97.7431,101.71,47,11,4.0,few clouds
327,Phetchabun,TH,16.25,101.0833,75.43,95,95,2.98,overcast clouds
328,Kenai,US,60.5544,-151.2583,71.02,61,1,3.44,clear sky
329,Lethem,GY,3.3803,-59.7968,80.42,80,91,1.21,moderate rain
330,Acarau,BR,-2.8856,-40.12,81.81,67,95,15.95,overcast clouds
331,Porangatu,BR,-13.4408,-49.1486,92.53,19,7,7.78,clear sky
332,Fuquay-Varina,US,35.5843,-78.8,89.62,72,100,1.99,heavy intensity rain
333,Marsh Harbour,BS,26.5412,-77.0636,85.26,70,56,9.73,broken clouds
334,Guatire,VE,10.4762,-66.5427,86.5,91,84,3.15,broken clouds
335,Bella Union,UY,-30.2752,-57.6007,61.9,58,0,7.09,clear sky
336,Moree,AU,-29.4667,149.85,48.22,87,0,0.0,clear sky
337,Tessalit,ML,20.1986,1.0114,88.45,34,4,7.36,clear sky
338,Baft,IR,29.234,56.6057,73.99,39,100,3.62,overcast clouds
339,Kerman,IR,30.2832,57.0788,84.06,18,0,9.22,clear sky
340,Padang,ID,-0.9492,100.3543,75.16,90,100,4.27,overcast clouds
341,Chifeng,CN,42.2683,118.9636,62.71,79,66,3.89,broken clouds
342,Izhma,RU,65.0083,53.9113,52.23,96,41,3.33,scattered clouds
343,Harper,LR,4.375,-7.7169,76.01,79,69,7.72,broken clouds
344,Pevek,RU,69.7008,170.3133,33.24,99,100,12.33,light snow
345,Zhuhai,CN,22.2769,113.5678,85.05,89,40,4.61,scattered clouds
346,Bull Savanna,JM,17.8868,-77.5902,85.59,65,14,20.11,few clouds
347,Erzin,TR,36.9559,36.2,81.0,69,0,1.14,clear sky
348,Lompoc,US,34.6391,-120.4579,90.79,67,1,13.8,clear sky
349,Creston,US,41.0586,-94.3614,79.72,50,1,12.66,clear sky
350,Macia,MZ,-25.0269,33.0989,63.1,50,0,6.06,clear sky
